PopularityCluster,TotalUsers,TotalFollowers,AverageFollowers,MedianFollowers,TotalPosts,AveragePosts,MedianPosts,TotalReplies,AverageReplies,MedianReplies,TotalRetweets,AverageRetweets,MedianRetweets,TotalLikes,AverageLikes,MedianLikes
0,950,29951,31.53,28.0,1481,1.56,1.0,971,1.02,1.0,763,0.8,0.0,2168,2.28,0.0
1,797,26183,32.85,30.0,1100,1.38,1.0,1081,1.36,1.0,60805,76.29,70.0,1690,2.12,0.0
2,1024,40933,39.97,38.0,1517,1.48,1.0,1494,1.46,1.0,921550,899.95,769.0,486,0.47,0.0
3,2106,660897,313.82,276.0,4770,2.26,1.0,4634,2.2,1.0,1866133,886.1,825.5,23201,11.02,0.0
4,1684,591865,351.46,298.0,3100,1.84,1.0,2880,1.71,1.0,102769,61.03,46.0,13590,8.07,0.0
5,1867,812914,435.41,337.0,2862,1.53,1.0,1987,1.06,1.0,2253,1.21,0.0,6560,3.51,1.0
6,1560,3822858,2450.55,1569.0,6313,4.05,1.0,5569,3.57,1.0,1617856,1037.09,836.5,477055,305.8,0.0
7,1168,4046081,3464.11,1829.5,2602,2.23,1.0,2090,1.79,1.0,103001,88.19,70.0,115725,99.08,0.0
8,1142,11384124,9968.58,2707.5,1744,1.53,1.0,1126,0.99,1.0,4739,4.15,3.0,20446,17.9,2.0
9,432,264825589,613022.2,77568.0,1294,3.0,1.0,391,0.91,0.0,701542,1623.94,283.5,2468488,5714.09,970.5
